epichacker69, INMATE, OFFICER, false
simonsejse, INMATE, OFFICER, false
frederikmumu, INMATE, OFFICER, false
plumbuks, INMATE, OFFICER, false
ramlov, INMATE, OFFICER, false
KristianMortense, INMATE, OFFICER, false
Monty55555, INMATE, OFFICER, false
_Jonathan, INMATE, OFFICER, false
laz11556, INMATE, OFFICER, false
laukage, INMATE, OFFICER, false
VirtualGamez, INMATE, OFFICER, false
TheGamerCharlie, INMATE, DIRECTOR, false
Lappedykker764, INMATE, INSPECTOR, false
thoby1902, INMATE, OFFICER, false
SkerDerKarl, INMATE, OFFICER, false
uffe, INMATE, OFFICER, false
gekkoo, INMATE, DIRECTOR, false
Djetter, INMATE, OFFICER, false
Nikosej1901, INMATE, INSPECTOR, false
Nutla, INMATE, OFFICER, false
vercinger, INMATE, OFFICER, false
mrgametop1, INMATE, VICE_INSPECTOR, false
Jytte_, INMATE, OFFICER, false
Pyromaniacdk, INMATE, OFFICER, false
wind_dk, INMATE, DIRECTOR, false
Svik_dk, INMATE, OFFICER, false
antonmikkelsen12, INMATE, VICE_INSPECTOR, false
littleline, INMATE, OFFICER, false
Cytom, INMATE, OFFICER, false
_Rallz, INMATE, OFFICER, false
ZenZlap, INMATE, OFFICER, false
Jonavsen, INMATE, OFFICER, false
DanielPSGamer, INMATE, OFFICER, false
Oklarskov, INMATE, OFFICER, false
Viggo2702, INMATE, INSPECTOR, false
KappaFick, INMATE, OFFICER, false
Vict6689, INMATE, OFFICER, false
jonas_meisler, INMATE, OFFICER, false
RashBee, INMATE, OFFICER, false
kandels, INMATE, OFFICER, false
Darchie, INMATE, OFFICER, false
TheGirl_Isa, INMATE, INSPECTOR, false
Ssupera, INMATE, OFFICER, false
jgh2003, INMATE, OFFICER, false
Rice2TheBeef, GUARD, OFFICER, true
nic12365, INMATE, OFFICER, false
helenamaria, INMATE, DIRECTOR, false
KakaoKongen, INMATE, OFFICER, false
Labarca, INMATE, OFFICER, false
EliteGamer17, INMATE, OFFICER, false
SnickersSjov, INMATE, OFFICER, false
Asbjorn2003", OFFICER, OFFICER, true
luffegamerv4, GUARD, OFFICER, true
Svambz, GUARD, OFFICER, true
DD_Was_Taken, OFFICER, OFFICER, true
Treblaaa, GUARD, OFFICER, true
Slyqnn, OFFICER, OFFICER, true
Lucas_AS, DIRECTOR, DIRECTOR, true
Scot_, INMATE, INSPECTOR, false
Zeqniix, OFFICER, OFFICER, true
EasyPeazy_, DIRECTOR, DIRECTOR, true
zM4rkus, OFFICER, OFFICER, true
Cubraa, OFFICER, OFFICER, true
Valentaion, OFFICER, OFFICER, true
Sykopingvin, OFFICER, OFFICER, true
Sw1chhh, OFFICER, OFFICER, true
